Loja;Processo;Amostra;Minutos;Tempo Médio;Desvio;Número de Amostras
Mossoró;Atendimento ao cliente ;16;1,8;2,782;2,311;20
Mossoró;Atendimento ao cliente ;17;3,217;2,782;2,311;20
Mossoró;Atendimento ao cliente ;18;7,417;2,782;2,311;20
Mossoró;Atendimento ao cliente ;19;4,567;2,782;2,311;20
Mossoró;Atendimento ao cliente ;20;9,467;2,782;2,311;20
Mossoró;Ativações on-line;1;22;22;0;1
Paracuru;Devolução;1;15,217;15,217;0;1
Paracuru;Criação de conteúdo;1;60;60;0;1
Paracuru;Eventos para os revendedores;1;240;240;0;1
Paracuru;Limpeza da ER ;1;15;15;0;1
Paracuru;Limpeza dos banheiros ;1;20;20;0;1
Paracuru;Mudança de planograma ;1;240;240;0;1
Paracuru;Separação de mercadoria (on-line e retirada);1;5,933;5,906;0,559;3
Paracuru;Separação de mercadoria (on-line e retirada);2;6,45;5,906;0,559;3
Paracuru;Separação de mercadoria (on-line e retirada);3;5,333;5,906;0,559;3
Paracuru;Venda em caixa;1;15,567;15,567;0;1
Paracuru;Atendimento ao cliente ;1;1,95;2,875;1,308;2
Paracuru;Atendimento ao cliente ;2;3,8;2,875;1,308;2
Paraipaba;Criação de conteúdo;1;30;30;0;1
Paraipaba;Encontro de ciclo;1;180;180;0;1
Paraipaba;Limpeza da ER ;1;20;20;0;1
Paraipaba;Limpeza dos banheiros ;1;25;25;0;1
Paraipaba;Faturamente de pedido (retirada e delivery);1;8,633;8,633;0;1
Paraipaba;Venda em caixa;1;6,367;7,858;2,11;2
Paraipaba;Venda em caixa;2;9,35;7,858;2,11;2
Paraipaba;Atendimento ao cliente ;1;19,2;13,011;6,779;3
Paraipaba;Atendimento ao cliente ;2;14,067;13,011;6,779;3
Paraipaba;Atendimento ao cliente ;3;5,767;13,011;6,779;3
Trairi;Eventos para os revendedores;1;30;30;0;1
Trairi;Limpeza da ER ;1;10;10;0;1
Trairi;Limpeza dos banheiros ;1;5;5;0;1
Trairi;Venda em caixa;1;12,65;8,642;5,669;2
Trairi;Venda em caixa;2;4,633;8,642;5,669;2
Trairi;Atendimento ao cliente ;1;28,35;12,823;10,054;5
Trairi;Atendimento ao cliente ;2;15,683;12,823;10,054;5
Trairi;Atendimento ao cliente ;3;10,317;12,823;10,054;5
Trairi;Atendimento ao cliente ;4;8,25;12,823;10,054;5
Trairi;Atendimento ao cliente ;5;1,517;12,823;10,054;5
Pentecoste;Reposição de prateleira;1;1,4;1,4;0;1
Pentecoste;Faturamente de pedido (retirada e delivery);1;4,383;3,989;0,612;3
Pentecoste;Faturamente de pedido (retirada e delivery);2;4,3;3,989;0,612;3
Pentecoste;Faturamente de pedido (retirada e delivery);3;3,283;3,989;0,612;3
Pentecoste;Venda em caixa;1;8,417;6,967;2,051;2
Pentecoste;Venda em caixa;2;5,517;6,967;2,051;2
Pentecoste;Atendimento ao cliente ;1;30,3;12,622;15,31;3
Pentecoste;Atendimento ao cliente ;2;3,883;12,622;15,31;3
Pentecoste;Atendimento ao cliente ;3;3,683;12,622;15,31;3
