iter	MAE
0	0.8218742405
1	0.7484367785
2	0.6944367165
3	0.6436117578
4	0.5915608275
5	0.5496101648
6	0.5071157673
7	0.46849801
8	0.4254613461
9	0.3846200108
10	0.3585244823
11	0.32498661
12	0.3012680159
13	0.2829431994
14	0.2638158506
15	0.239896302
16	0.2192833997
17	0.2011486587
18	0.1880204769
19	0.1727885533
20	0.1614299291
21	0.1491902549
22	0.1353886517
23	0.1244294658
24	0.1190575857
25	0.107950523
26	0.1013767281
27	0.09763949899
28	0.08898408744
29	0.08336470996
30	0.08041886945
31	0.0759941854
32	0.06959072756
33	0.06302521689
34	0.05739749702
35	0.05439953577
36	0.05240270546
37	0.04904792397
38	0.04543944187
39	0.04207021996
40	0.0390323952
41	0.03707596956
42	0.03473864977
43	0.03360437025
44	0.03146949404
45	0.03098271706
46	0.0304230573
47	0.03022298385
48	0.02808655498
49	0.02664224939
50	0.02451243737
51	0.02325712445
52	0.02213447835
53	0.02107644952
54	0.0203313751
55	0.01917787164
56	0.0176033854
57	0.01670349097
58	0.01503304184
59	0.01406020992
60	0.01360375263
61	0.01224328982
62	0.01184886692
63	0.01139417754
64	0.01098521853
65	0.01026080794
66	0.00983406196
67	0.009092768922
68	0.008812561835
69	0.008678183195
70	0.007903239261
71	0.007431562549
72	0.007339840955
73	0.007234933076
74	0.006952027708
75	0.006712976884
76	0.006383246456
77	0.006181801352
78	0.005836366859
79	0.005767458374
80	0.005190650029
81	0.004671522508
82	0.004649883981
83	0.004606498705
84	0.004371361678
85	0.00433870299
86	0.004280971087
87	0.004254566573
88	0.003853467807
89	0.003542651983
90	0.003213804264
91	0.002892458121
92	0.002665942461
93	0.002438523801
94	0.002234473821
95	0.002068006907
96	0.002052697077
97	0.001847377366
98	0.001835001838
99	0.001651451651
100	0.001486256487
101	0.001337580835
102	0.001203772752
103	0.001083351677
104	0.001078837492
105	0.00106378388
106	0.001010171613
107	0.0009089613534
108	0.0008655484776
109	0.0007788185923
110	0.0007216193301
111	0.0006494286484
112	0.0005844607799
113	0.0005259896983
114	0.0004733657269
115	0.0004260041528
116	0.0003833787344
117	0.0003450158598
118	0.0003104892723
119	0.0002794153445
120	0.0002514488102
121	0.000226278929
122	0.0002036260358
123	0.0001832428056
124	0.0001809924782
125	0.0001628807304
126	0.0001465801572
127	0.000131909641
128	0.0001187061769
129	0.0001068230591
130	9.612825334e-05
131	8.650292783e-05
132	7.784013505e-05
133	7.004362153e-05
134	6.302675934e-05
135	5.671158325e-05
136	5.102792488e-05
137	4.591263235e-05
138	4.131170237e-05
139	3.71742821e-05
140	3.345060397e-05
141	3.010138769e-05
142	2.993549266e-05
143	2.694194343e-05
144	2.424774904e-05
145	2.18229741e-05
146	1.964246467e-05
147	1.912556087e-05
148	1.721300468e-05
149	1.549170415e-05
150	1.39425337e-05
151	1.254828029e-05
152	1.129345223e-05
153	1.016410697e-05
154	9.147696275e-06
155	8.232926623e-06
156	7.409633937e-06
157	6.66867054e-06
158	6.001803507e-06
159	5.401623141e-06
160	4.861460831e-06
161	4.375314752e-06
162	3.937783275e-06
163	3.544004942e-06
164	3.18960445e-06
165	2.870644003e-06
166	2.583579604e-06
167	2.325221637e-06
168	2.092699473e-06
169	1.883429526e-06
170	1.695086576e-06
171	1.52557792e-06
172	1.373167624e-06
173	1.293691157e-06
174	1.263664771e-06
175	1.137655021e-06
176	1.024753722e-06
177	9.229410545e-07
178	8.306469505e-07
179	7.475822543e-07
180	6.741470803e-07
181	6.080396942e-07
182	5.991734366e-07
183	5.703747768e-07
184	5.133372986e-07
185	4.620035691e-07
186	4.162529175e-07
187	3.95316714e-07
188	3.575655513e-07
189	3.228405214e-07
190	2.905564689e-07
191	2.615008213e-07
192	2.353507394e-07
193	2.083764386e-07
194	1.875387952e-07
195	1.687849168e-07
196	1.519064262e-07
197	1.367157837e-07
198	1.230442051e-07
199	1.107397844e-07
200	9.966580629e-08
201	8.969922462e-08
202	8.072930245e-08
203	7.265637227e-08
204	6.539073485e-08
205	5.88516615e-08
206	5.29664953e-08
207	4.766984575e-08
208	4.290286065e-08
209	3.884631795e-08
210	3.711292603e-08
211	3.340163338e-08
212	3.006146999e-08
213	2.193522071e-08
214	1.974169852e-08
215	1.776752834e-08
216	1.599077536e-08
217	1.439169752e-08
218	1.295252731e-08
219	1.165727435e-08
220	1.049154656e-08
221	9.442391852e-09
222	8.498152651e-09
223	7.648337145e-09
224	6.883503268e-09
225	6.195152923e-09
226	5.575637838e-09
227	5.018073916e-09
228	4.516267004e-09
229	4.064640736e-09
230	3.658176586e-09
231	3.292359039e-09
232	2.963123421e-09
233	2.666810804e-09
234	2.400129586e-09
235	2.160116823e-09
236	1.944105121e-09
237	1.749694623e-09
238	1.574725275e-09
239	1.417252688e-09
240	1.275527514e-09
241	1.147974807e-09
242	1.033177416e-09
243	9.298599297e-10
244	8.368737241e-10
245	7.531863928e-10
246	6.778674611e-10
247	6.10080671e-10
248	5.490728091e-10
249	1.692955739e-09
250	1.523660089e-09
251	1.371293844e-09
252	2.357615319e-10
253	2.121857587e-10
254	1.909672005e-10
255	3.142422029e-09
256	2.828180293e-09
257	2.545362294e-09
258	2.290825691e-09
259	2.061742834e-09
260	1.85556825e-09
261	1.670011124e-09
262	1.503009816e-09
263	1.352708419e-09
264	1.217437836e-09
265	1.095694187e-09
266	9.861246353e-10
267	8.875120103e-10
268	7.987606221e-10
269	7.188846551e-10
270	6.469962224e-10
271	5.822967301e-10
272	5.240670833e-10
273	4.716606812e-10
274	4.244945456e-10
275	3.820446478e-10
276	3.438402499e-10
277	3.094560738e-10
278	2.785109072e-10
279	2.506598004e-10
280	2.255936707e-10
281	2.030343586e-10
282	1.852117993e-09
283	1.66690621e-09
284	1.500215417e-09
285	1.350193973e-09
286	1.215174211e-09
287	1.093656529e-09
288	9.842909155e-10
289	8.858619769e-10
290	7.972754395e-10
291	7.175476179e-10
292	6.457927971e-10
293	5.812133893e-10
294	5.230917602e-10
295	4.707823395e-10
296	4.237039532e-10
297	3.813336168e-10
298	3.432006166e-10
299	3.088803963e-10
300	2.779920836e-10
301	2.501932405e-10
302	2.251740177e-10
303	2.026566165e-10
304	1.823909316e-10
305	1.641520628e-10
306	1.477371725e-10
307	1.329632821e-10
308	1.196669632e-10
309	1.07700407e-10
310	9.693040403e-11
311	8.723721333e-11
312	7.851356653e-11
313	7.066210399e-11
314	6.359580853e-11
315	5.723648574e-11
316	5.151311951e-11
317	4.636137243e-11
318	4.1725487e-11
319	3.755288376e-11
